path    axes  conc   strain   image      delta_E     pot         d_pot 
3R      3     0.25     LT      6         0.4781   -21.6320     0.7795
3R      3     0.25     LT      7         0.4263   -21.5619     0.7094
3R      3     0.25     LT      8         0.3811   -21.4998     0.6473
3R      3     0.25     LT      9         0.2479   -21.4546     0.6021
3R      3     0.25     LT     10         0.1929   -21.4369     0.5844
    
1       1     0.50     LM      0         0.0000   -20.6759     0.0000
1       1     0.50     LM      1         0.1002   -20.7471     0.0712
1       1     0.50     LM      2         0.2337   -20.8548     0.1789
1       1     0.50     LM      3         0.3290   -20.9910     0.3151
1       1     0.50     LM      4         0.3748   -21.1296     0.4537
1       1     0.50     LM      5         0.3881   -21.1950     0.5191
1       1     0.50     LM      6         0.3575   -21.1342     0.4583
1       1     0.50     LM      7         0.3095   -20.9768     0.3009
1       1     0.50     LM      8         0.2081   -20.8139     0.1380
1       1     0.50     LM      9         0.0318   -20.6800     0.0041
1       1     0.50     LM     10        -0.0708   -20.6020    -0.0739
    
1       2     0.50     LM      0         0.0000   -20.5613     0.0000
1       2     0.50     LM      1         0.1034   -20.6401     0.0788
1       2     0.50     LM      2         0.2818   -20.7767     0.2154
1       2     0.50     LM      3         0.3828   -20.9404     0.3791
1       2     0.50     LM      4         0.4302   -21.0971     0.5358
1       2     0.50     LM      5         0.4609   -21.1561     0.5948
1       2     0.50     LM      6         0.4477   -21.0868     0.5255
1       2     0.50     LM      7         0.4025   -20.9531     0.3918
1       2     0.50     LM      8         0.3072   -20.8166     0.2553
1       2     0.50     LM      9         0.1737   -20.7028     0.1415
1       2     0.50     LM     10         0.0734   -20.6353     0.0740
    
1       3     0.50     LM      0         0.0000   -20.6353     0.0000
1       3     0.50     LM      1         0.0947   -20.7016     0.0663
1       3     0.50     LM      2         0.2521   -20.8189     0.1836
1       3     0.50     LM      3         0.3407   -20.9593     0.3240
1       3     0.50     LM      4         0.3925   -21.0960     0.4607
1       3     0.50     LM      5         0.4145   -21.1543     0.5190
1       3     0.50     LM      6         0.3924   -21.0961     0.4608
1       3     0.50     LM      7         0.3406   -20.9591     0.3238
1       3     0.50     LM      8         0.2519   -20.8186     0.1833
1       3     0.50     LM      9         0.0946   -20.7006     0.0653
1       3     0.50     LM     10         0.0000   -20.6352    -0.0001
    
2       1     0.50     LM      0         0.0000   -20.8398     0.0000
2       1     0.50     LM      1         0.0560   -20.8275    -0.0123
2       1     0.50     LM      2         0.2278   -20.8192    -0.0206
2       1     0.50     LM      3         0.3396   -20.8039    -0.0359
2       1     0.50     LM      4         0.3976   -20.7716    -0.0682
2       1     0.50     LM      5         0.4341   -20.6781    -0.1617
2       1     0.50     LM      6         0.3972   -20.5808    -0.2590
2       1     0.50     LM      7         0.3393   -20.5660    -0.2738
2       1     0.50     LM      8         0.2223   -20.5580    -0.2818
2       1     0.50     LM      9         0.0561   -20.5755    -0.2643
2       1     0.50     LM     10        -0.0367   -20.6012    -0.2386
    
2       2     0.50     LM      0         0.0000   -20.8963     0.0000
2       2     0.50     LM      1         0.0990   -20.8812    -0.0151
2       2     0.50     LM      2         0.2513   -20.8684    -0.0279
2       2     0.50     LM      3         0.3447   -20.8479    -0.0484
2       2     0.50     LM      4         0.4085   -20.8283    -0.0680
2       2     0.50     LM      5         0.4387   -20.7391    -0.1572
2       2     0.50     LM      6         0.4084   -20.6619    -0.2344
2       2     0.50     LM      7         0.3447   -20.6255    -0.2708
2       2     0.50     LM      8         0.2513   -20.6113    -0.2850
2       2     0.50     LM      9         0.0990   -20.6207    -0.2756
2       2     0.50     LM     10        -0.0000   -20.6454    -0.2509
    
2       3     0.50     LM      0         0.0000   -20.8972     0.0000
2       3     0.50     LM      1         0.0980   -20.8834    -0.0138
2       3     0.50     LM      2         0.2505   -20.8706    -0.0266
2       3     0.50     LM      3         0.3445   -20.8494    -0.0478
2       3     0.50     LM      4         0.4061   -20.8301    -0.0671
2       3     0.50     LM      5         0.4389   -20.7411    -0.1561
2       3     0.50     LM      6         0.4061   -20.6607    -0.2365
2       3     0.50     LM      7         0.3445   -20.6273    -0.2699
2       3     0.50     LM      8         0.2506   -20.6156    -0.2816
2       3     0.50     LM      9         0.0980   -20.6245    -0.2727
2       3     0.50     LM     10         0.0000   -20.6466    -0.2506
    
3       1     0.50     LM      0         0.0000   -20.4165     0.0000
3       1     0.50     LM      1         0.0793   -20.5375     0.1210
3       1     0.50     LM      2         0.2089   -20.7044     0.2879
3       1     0.50     LM      3         0.2696   -20.8611     0.4446
3       1     0.50     LM      4         0.2876   -21.0960     0.6795
3       1     0.50     LM      5         0.2850   -21.2506     0.8341
3       1     0.50     LM      6         0.2762   -21.2623     0.8458
3       1     0.50     LM      7         0.2269   -21.1815     0.7650
3       1     0.50     LM      8         0.1347   -21.0812     0.6647
3       1     0.50     LM      9        -0.0126   -21.0105     0.5940
3       1     0.50     LM     10        -0.0784   -20.9710     0.5545
    
3R      1     0.50     LM      0         0.0000   -20.9710     0.0000
3R      1     0.50     LM      1         0.0658   -21.0105     0.0395
3R      1     0.50     LM      2         0.2132   -21.0812     0.1102
3R      1     0.50     LM      3         0.3053   -21.1815     0.2105
3R      1     0.50     LM      4         0.3547   -21.2623     0.2913
3R      1     0.50     LM      5         0.3635   -21.2506     0.2796
3R      1     0.50     LM      6         0.3660   -21.0960     0.1250
